IRUC;DEPARTAMENTO;PROVINCIA;DISTRITO;Sexo;Cargo Informante;Cargo Informante otro;DESC_CIIU;Año funcionamiento;Empresa actualmente;Nivel ventas;Porcentaje;Capacidad operativa 2do trimestre;Modalidad ventas segundo trimentre;Disminución de la demanda de sus productos o servicios;Paralización de la producción a causa de la pandemia;Dificultad en la exportación de sus productos;Desabastecimiento de materias primas e insumos del mercado nacional;Desabastecimiento de materias primas e insumos del extranjero;Disminución de la inversión en maquinaria y equipos;Retraso en el pago de facturas;Retraso en el cobro de facturas;Enfermedad de trabajadores por el COVID-19;Pérdida de capital de trabajo;Altos costos para implementar planes de seguridad;¿Otro?;¿Otro? (Especifique);NO TUVO PROBLEMAS;¿Qué porcentaje de trabajadores laboró en la empresa en el segundo trimestre 2020 (Abril-Mayo-Junio); ¿Cuáles son las modalidades que ha adoptado la empresa para las labores de sus trabajadores?;TAMANO_EMPRESA
122388;LIMA;LIMA;SAN MIGUEL;2;Gerente/a general;;Actividades de operadores turísticos;2014;Inoperativa;NO REALIO VENTAS;;Hasta 20%;;0;0;0;0;0;0;0;0;0;0;0;1;EL TURISMO SE PARALIZÓ A NIVEL MUNDIAL;0;Hasta 20%;Solo trabajo remoto;Mediana empresa
122475;LIMA;LIMA;LIMA;2;Propietario/a;;Impresión;2011;Parcialmente operativa;Disminuyó;80;De 41 a 60%;Presencial y delivery;1;0;0;1;0;0;0;1;0;0;0;0;;0;Hasta 20%;Trabajo mixto;Mediana empresa
122578;LIMA;LIMA;SANTIAGO DE SURCO;2;Administrador/a;;Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos;2014;Inoperativa;NO REALIO VENTAS;;De 21 a 40%;;0;0;1;0;0;0;0;0;0;0;0;0;;0;Hasta 20%;Solo trabajo remoto;Micro empresa
122580;LIMA;LIMA;SANTIAGO DE SURCO;2;Propietario/a;;Construcción de otras obras de ingeniería civil;1993;Parcialmente operativa;Disminuyó;75;Hasta 20%;Solo de forma presencial;1;0;0;1;1;0;0;1;0;1;0;0;;0;Hasta 20%;Solo trabajo presencial;Gran empresa
122582;CALLAO;CALLAO;BELLAVISTA;1;Gerente/a general;;Transporte de carga por carretera;2010;Parcialmente operativa;Se mantiene;;De 41 a 60%;Presencial y delivery;0;1;0;0;0;0;1;1;0;0;1;1;DIFICULTAD CON EL SISTMA DEL TRABAJO REMOTO;0;De 41 a 60%;Trabajo mixto;Mediana empresa
122609;LIMA;LIMA;MIRAFLORES;2;Contador/a;;Otras actividades de tecnología de la información y servicios informáticos;2014;Operativa;Disminuyó;11;De 81 a 100%;Solo de forma presencial;1;0;0;0;0;0;0;0;0;0;1;0;;0;De 81 a 100%;Solo trabajo remoto;Micro empresa
123059;LIMA;LIMA;LIMA;2;Otro;GERENTE COMERCIAL;Actividades de agencias de viajes;2005;Parcialmente operativa;NO REALIO VENTAS;;Hasta 20%;;1;1;0;0;0;0;0;0;0;1;0;0;;0;Hasta 20%;Solo trabajo remoto;Gran empresa
123322;LIMA;LIMA;CHORRILLOS;2;Contador/a;;Actividades de servicios relacionadas con la impresión;2009;Inoperativa;NO REALIO VENTAS;;Hasta 20%;;1;1;0;0;0;0;1;1;0;1;1;0;;0;Hasta 20%;Solo trabajo remoto;Micro empresa
124173;LIMA;LIMA;LA VICTORIA;1;Contador/a;;Venta al por mayor de alimentos, bebidas y tabaco;2010;Operativa;Se mantiene;;De 61 a 80%;Solo online;0;0;0;0;0;0;1;1;1;0;1;0;;0;De 81 a 100%;Solo trabajo presencial;Pequeña empresa
124423;LIMA;LIMA;SAN BORJA;2;Otro;ABOGADO;Elaboración y conservación de pescado, crustáceos y moluscos;2015;Parcialmente operativa;Disminuyó;30;De 81 a 100%;Solo online;0;1;0;1;0;0;0;0;1;0;1;0;;0;De 81 a 100%;Trabajo mixto;Micro empresa
